j-riddle	J.Riddle	blend	XX					unknown			unverified	unknown		Single product "J.Riddle Peated" - could not identify a producer within budget. The product name itself asserts "Peated" but I found no independent source to cite, so left peatProfile=unknown rather than assert heavy/medium on the strength of the catalogue name alone (brief rule: never invent a citation). REVIEWER FLAG: name strongly implies a peated whisky - worth a manual peatProfile assignment once the producer is identified.	j riddle	1	J.Riddle Peated
jimsher	Jimsher	distillery	GE			Kartveli LLC		none			unverified	low	https://www.thespiritsbusiness.com/2026/05/sb-meets-jimsher-chkhaidze-jimsher-distillery/ https://jimsher.com/en/about-us/	First Georgian whisky, Kartveli Distillery (founder Jimsher Chkhaidze). "Tsinandali" in the catalogue sample name is a wine-cask finish (aged in ex-Tsinandali-wine barrels), not a separate product or a wine product - this is genuinely a whisky. No peat/smoke mentioned; matured in Georgian wine and brandy casks. defaultTypeName left empty - only one expression researched, described as "blended" but full range unconfirmed	jimsher	1	Jimsher Цинандалі
johnny-hepp	Johnny Hepp	blend	FR					unknown			unverified	low		Not researched (budget). Sample "Johnny Hepp Alsacien" names Alsace explicitly; countryCode inferred from the name only. A real Alsatian spirits house named Hepp exists but this was not confirmed this session.	johnny hepp	1	Johnny Hepp Alsacien
judas-priest	Judas Priest	blend						unknown			unverified	unknown		Band-branded novelty whisky ("50 Heavy Metal Years"); origin not identified, no search performed this pass.	judas priest	1	Judas Priest 50 Heavy Metal Years
karuizawa	Karuizawa	distillery	JP				single malt	unknown			unverified	low		Closed distillery (mothballed 2000, demolished 2016), Miyota, Nagano Prefecture. Peat level of the original production was not confirmed by the research done here (found only that a newly revived operation reportedly plans both peated and unpeated malt in future) - left unknown rather than guessed. Named in Artist series samples (this batch).	karuizawa	1	Karuizawa Artist #13 1999
knappogue-castle	Knappogue Castle	blend	IE			Irish Distillers (Pernod Ricard)	single malt	none			unverified	low	https://en.wikipedia.org/wiki/Knappogue_Castle_Irish_Whiskey https://en.wikipedia.org/wiki/Irish_whiskey	Confirmed premium single malt Irish whiskey brand, produced by Irish Distillers (Pernod Ricard), introduced 1998, named for Knappogue Castle in County Clare. Source distillery undisclosed for current releases; kind=blend used as the closest available bucket for an undisclosed-origin single-malt label (rule 3 in the brief), not because it is blended-type whiskey. peatProfile via general Irish-whiskey category fact.	knappogue castle	1	Knappogue Castle
koriyama	Koriyama	distillery	JP			Sasanokawa Shuzo		unknown			unverified	low	https://en.wikipedia.org/wiki/Asaka_distillery	Catalogue spells the brand simply "Koriyama"; the operating distillery's formal name is Asaka Distillery, in Kōriyama, Fukushima Prefecture, founded 2016. No peat information found.	koriyama	1	Koriyama
kyoda	Kyoda	blend	XX					unknown			unverified	unknown		Single product, just "Kyoda". Wikipedia search returns nothing relevant (only an unrelated anime director's surname). No basis found for country, category or peat.	kyoda	1	Kyoda
lambertus	Lambertus	blend						unknown			unverified	unknown		No web presence found for this whisky (zero Wikipedia hits). The name recalls the Belgian 'Lambertus' beer brand (Brouwerij Huyghe) but no whisky connection is confirmed; left entirely unknown rather than guessed.	lambertus	1	Lambertus Founders Reserve
lehmann	Lehmann	blend	XX					unknown			unverified	unknown		No web presence found this session. Sole sample "Hiberum Saboga" suggests a Latin/Hibernia (Ireland) theme while "Lehmann" reads German/French/Alsatian - conflicting signals, country and peat left unknown rather than guessed.	lehmann	1	Hiberum Saboga
leopold-bros	Leopold Bros	distillery	US					none			unverified	low	https://en.wikipedia.org/wiki/Whisky	Denver, Colorado craft distillery, known for Maryland-style rye whiskey per Wikipedia's List of whisky brands. Sample Leopold Bros Peach is likely a flavored/fruit expression; range spans types so defaultTypeName left empty.	leopold bros	1	Leopold Bros Peach
london-square	London Square	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No web presence found; treated as an ordinary own-label blended Scotch per budget policy for one-product long-tail brands.	london square	1	London Square
lothaire	Lothaire	blend	FR					unknown			unverified	unknown		Could not confirm this session (domain lookups failed, no Wikipedia page). Unconfirmed personal recollection that this may be a French independent bottler of sourced (non-French) malt whisky rather than a French distillery -- flagged for human review rather than acted on without a citation.	lothaire	1	Lothaire
