kentucky-jack	Kentucky Jack	blend	US					unknown			unverified	low		Own-label American-style whiskey, no web presence found; fast-tracked per own-label rule (3 near-identical sample names, name evokes Jack Daniel's).	kentucky jack	3	Kentucky Jack
kindilan	Kindilan	blend	CA					unknown			unverified	low		Product names explicitly say 'Канадіан' (Canadian), the basis for countryCode=CA; no other information found this session	kindilan	3	Kindilan ; Kindilan Канадіан
lagg	Lagg	distillery	GB-SCT	islands	highland	Isle of Arran Distillers Ltd	single malt	heavy			unverified	high	https://en.wikipedia.org/wiki/Lagg_distillery	Arran's second distillery (opened 2019), a separate physical site from Arran/Lochranza - built specifically to produce a heavily peated style (50ppm Highland peat), unlike unpeated Arran. Region islands/legalRegion highland per the same Arran convention as Tobermory.	lagg	3	Lagg Corriecravie ; Lagg Kilmory ; Lagg Small Batch Palo Cortado Finish
longrow	Longrow	brand	GB-SCT	campbeltown	campbeltown	J&A Mitchell & Company	single malt	heavy	springbank		unverified	high	https://en.wikipedia.org/wiki/Springbank_(distillery)	Springbank's heavily-peated, double-distilled sibling brand (named directly in the brief's own sibling-pair list). Cited article: "Longrow Single Malt is a highly peated, double-distilled whisky".	longrow	3	Longrow
lord-elcho	Lord Elcho	blend	GB-SCT				blend	unknown			unverified	low		Believed to be associated with the Wemyss family (name matches the Earl of Wemyss's courtesy title, and the family runs Wemyss Malts/Kingsbarns distillery), but no citation could be opened this session confirming producer or peat level -- Wikipedia has no article and other searches returned nothing relevant. bottlerSlug intentionally left empty pending verification (contrast peat-chimney/spice-king, where the Wemyss link is well-established general knowledge).	lord elcho	3	Lord Elcho ; Lord Elcho Premium
maen	Maen	blend						unknown			unverified	unknown		No identifiable web presence found under any spelling tried. Input gives only the bare name "Maen" three times with no distinguishing sample product name, so origin, type and owner could not be determined.	maen	3	Maen
meikle-toir	Meikle Toir	blend	XX					unknown			unverified	unknown		No web presence found this session. Name reads Scots/Gaelic ("Meikle" = great/large) but one sample variant is "The Chinquapin" (chinquapin oak is a cask type mainly associated with American craft whiskey), so country/origin is genuinely ambiguous - left unknown rather than guessed.	meikle toir	3	Meikle Toir The Chinquapin ; Meikle Toir The Original ; Meikle Toir The Sherry
ry3	RY3	blend	XX					unknown			unverified	unknown		Catalogue samples (Cigar Series, Cask Strength, Madeira Cask Strength) suggest a small craft/private rye-style label. No Wikipedia page or other citable source found this session; country and category undetermined.	ry3	3	RY3 Cask Cask Strength ; RY3 Cigar Series ; RY3 Madeira Cask Strength
stronachie	Stronachie	blend	GB-SCT				blend	unknown		dewar-rattray	unverified	low		Dewar Rattray's own recreated blended-malt brand, named after a long-closed distillery not present in the Wikipedia operating-distilleries authority file; no further citation found this session.	stronachie	3	Dewar Rattray Stronachie ; Dewar Rattray Stronachie Small Batch
the-charles-house	The Charles House	blend					blend	none			unverified	low	https://en.wikipedia.org/wiki/Blended_whiskey	No web presence found (Wikipedia search empty). All 3 samples are just 'Charles House' with no other descriptor. Treated as an ordinary own-label blend per the brief's long-tail rule; country left unknown rather than guessed.	charles house|the charles house	3	Charles House
wise-salmon	Wise Salmon	blend	XX					unknown			unverified	low		No web presence found this session; country and style could not be identified.	wise salmon	3	Wise Salmon
yakusun	Yakusun	blend	XX					unknown			unverified	unknown		Samples (Yuzu, Classic, Passion Fruit) read as a flavoured whisky-based drink rather than a conventional Scotch/Japanese whisky; zero Wikipedia search hits. Likely a fantasy/evocative brand name for the Eastern European market rather than an actual Japanese producer -- left fully unknown rather than assume Japan from the name alone.	yakusun	3	Yakusun Classic ; Yakusun Passion Fruit ; Yakusun Yuzu
15-stars	15 Stars	blend						unknown			unverified	unknown		No web presence found. Naming pattern ('Platinum', 'First West') gives no clear nationality signal, so left unclassified rather than guessed.	15 stars	2	15 Stars First West ; 15 Stars Platinum
alexander	Alexander	blend	XX					unknown			unverified	unknown		Could not identify producer despite research; only Alexander Aqva Di Vita Amarone Cask Finish sample available. Possibly Italian or generic European. Flag for reviewer.	alexander	2	Alexander ; Alexander Aqva Di Vita Amarone Cask Finish
back-to-black	Back to Black	blend						unknown			unverified	unknown		No information found this session; samples are 'Back to Black' / 'The Story of Back to Black' - own-label, origin unclear, not searched (long tail budget)	back to black|the story of back to black	2	Back to Black ; The Story of Back to Black
masthouse	Masthouse	brand	GB-ENG					unknown	copper-rivet		unverified	low	https://en.wikipedia.org/wiki/List_of_whisky_distilleries_in_England	Copper Rivet Distillery's whisky brand (Chatham, Kent) -- confirmed via Wikipedia's list of English whisky distilleries ("Copper Rivet Distillery ... set to launch Masthouse whisky"). defaultTypeName left empty: this batch's own product name says "Column Distilled" (implying a continuous/grain still) while Wikipedia describes the first release as single malt, suggesting the range spans more than one type. No peat statement found (copperrivetdistillery.com returned 403 both times fetched).	masthouse	1	Masthouse Column Distilled
