old-ballantruan	Old Ballantruan	brand	GB-SCT	speyside	speyside	Angus Dundee Distillers	single malt	heavy	tomintoul		unverified	low	https://en.wikipedia.org/wiki/Tomintoul_distillery	Tomintoul distillery's peated single malt, released under its old spring-name "Ballantruan" rather than the Tomintoul brand name. Wiki: "a 1991 peaty vintage was released under the name 'Old Ballantruan'"..."it has released a peated single malt called Ballantruan". No phenol ppm figure found in the source; general reputation (and the fact it is marketed as Tomintoul's peat-forward counterpart) supports heavy over medium, but the exact figure is not confirmed -- confidence kept low rather than high.	ballantruan|old ballantruan	1	Old Ballantruan
opatrick	O'Patrick	blend	XX					unknown			unverified	unknown		Catalogue supplied no type/country guess; no web presence found. Own-label, origin unclear -- possibly an invented Irish-sounding name rather than genuinely Irish.	opatrick	1	O'Patrick
orphan-barrel-rhetoric	Orphan Barrel Rhetoric	blend	US				bourbon	none		orphan-barrel	unverified	low	https://en.wikipedia.org/wiki/Linkwood_distillery https://en.wikipedia.org/wiki/Bourbon_whiskey	"Rhetoric" is an aged-bourbon release under the Orphan Barrel project; the specific source distillery/mashbill for this release was not confirmed this session so kept as kind=blend rather than naming a distillery. Standard bourbon category, no peat.	orphan barrel rhetoric	1	Orphan Barrel Rhetoric
pennypacker	Pennypacker	blend						unknown			unverified	unknown		No web presence found. Unlike most of this batch's unidentified own labels, the name has no 'Glen'/Scottish styling, so it was left unclassified rather than defaulted to blended Scotch.	pennypacker	1	PennyPacker
pickup-truck	Pickup Truck	blend	US					none			unverified	low	https://en.wikipedia.org/wiki/Whisky	Brand not independently verified via any source actually opened (no hits found); American-themed name suggests US whiskey, category default (peat is a Scotch-specific practice) applied.	pickup truck	1	Pickup Truck
pigs-nose	Pig's Nose	blend	GB-SCT			Ian Macleod Distillers	blend	none			unverified	medium	https://en.wikipedia.org/wiki/Pig%27s_Nose	Originally created by Spencerfield Spirit Company; acquired by Ian Macleod Distillers with their purchase of Spencerfield Spirits in September 2016 (confirmed via Wikipedia). Listed among Ian Macleod's core blended-Scotch brands, explicitly contrasted there with their peated Smokehead single malt -- read as implicitly unpeated.	pigs nose	1	Pig's Nose
poli	Poli	blend	IT				malt	unknown			unverified	unknown		Jacopo Poli is a well-known Italian grappa/brandy house (Bassano del Grappa, Veneto); could not confirm this session whether "Segretario di Stato" is genuinely a whisky release of theirs or a mislabeled grappa/brandy product (poligrappa.com returned 404 / redirected to an Italian-only page with no whisky content found). Kept as a low/unknown-confidence row rather than skipped outright, since the catalogue explicitly classifies it "malt"/IT -- flagged for human review of whether this is whisky at all.	poli segretario	1	Poli Segretario di Stato
prohibido	Prohibido	blend						unknown			unverified	unknown		Single product 'Ley Seca' (Spanish for 'dry law' / Prohibition). No whiskey/whisky brand by this name found on Wikipedia; 'Ley Seca' itself only returns the generic Prohibition term and an unrelated song. Left fully unknown -- flag for human review of what this product actually is (category/country not even confirmed).	ley seca|prohibido	1	Ley Seca
quality-house	Quality House	brand	US			Heaven Hill		none	heaven-hill		unverified	low	https://en.wikipedia.org/wiki/Heaven_Hill https://en.wikipedia.org/wiki/Irish_whiskey	"Heaven Hill Quality House Old Style White" appears to be a bottling/export label of Heaven Hill's Old Style White product. defaultTypeName left empty (mashbill/style of "Old Style White" unclear from samples). Peat=none per general American-whiskey category norm.	quality house	1	Heaven Hill Quality House Old Style White
ragtime-rye	Ragtime Rye	blend	US				rye	unknown			unverified	low		Not researched (budget). "Ragtime" + "Rye" is a strongly American-coded name; countryCode/defaultTypeName inferred from the name only. Peat left unknown per no-citation policy (American rye is conventionally unpeated but this was not verified for this specific brand).	ragtime rye	1	Ragtime Rye
rammstein	Rammstein	blend	IE			Rammstein Spirits	blend	none			unverified	low	https://www.urban-drinks.de/en/rammstein/ https://www.whisky.com/whisky-database/details/rammstein-irish-whiskey.html	Irish whiskey (triple-distilled grain + double-distilled malt blend), aged 10 years in ex-bourbon casks, bottled for the German band Rammstein. No peat reported (standard Irish blend style).	rammstein	1	Rammstein
reki	Reki	blend						unknown			unverified	unknown		Part of the unresolved Japanese-styled budget cluster (see Shinobu); single product, no web presence found this session	reki	1	Reki
reservoir	Reservoir	distillery	US					none			unverified	low	https://www.reservoirdistillery.com/ https://en.wikipedia.org/wiki/Irish_whiskey	Richmond, Virginia craft distillery; official site lists bourbon, rye and corn whiskey with no peat mention. defaultTypeName left empty since range spans multiple types. Peat=none per general American-whiskey category norm.	reservoir	1	Reservoir
