edradour	Edradour	distillery	GB-SCT	highland	highland	Signatory Vintage Scotch Whisky Co	single malt	none			unverified	high	https://en.wikipedia.org/wiki/Edradour_distillery	Standard unpeated core range; the same article states its heavily peated version is bottled separately as Ballechin. Not itself a brand string in this batch; added as parent for Ballechin.
ballechin	Ballechin	brand	GB-SCT	highland	highland	Signatory Vintage Scotch Whisky Co	single malt	heavy	edradour		unverified	high	https://en.wikipedia.org/wiki/Edradour_distillery	Wikipedia: 'a heavily peated version of the Edradour called Ballechin', produced two days a week.
speyburn	Speyburn	distillery	GB-SCT	speyside	speyside	Inver House Distillers	single malt	none			unverified	high	https://en.wikipedia.org/wiki/Speyburn_distillery	Standard unpeated Speyside malt; no peat mentioned. Not itself a brand string in this batch; added as parent for Bradan Orach.
bradan-orach	Bradan Orach	brand	GB-SCT	speyside	speyside	Inver House Distillers	single malt	none	speyburn		unverified	low	https://en.wikipedia.org/wiki/Speyburn_distillery	Bradan Orach is Speyburn's entry-level NAS single malt; catalogue lists it under this name rather than 'Speyburn'. Peat inferred from the parent distillery's standard unpeated Speyside profile, not a Bradan-Orach-specific citation, hence confidence=low.
imperial	Imperial	distillery	GB-SCT	speyside	speyside	Chivas Brothers (Pernod Ricard)	single malt	none			unverified	low	https://en.wikipedia.org/wiki/Imperial_distillery	Closed 1998, demolished 2013 (site is now Dalmunach distillery); operated sporadically 1897-1998, only official bottling was a 15yo, whisky used mostly for blends. No peat mentioned. Catalogue sample 'Imperial Imperial 1995' suggests an old/independent bottling of this vintage stock; distillery has been closed since 1998 so all stock is old casks.
kilbeggan	Kilbeggan	blend	IE			Suntory Global Spirits (Beam Suntory)	blend	none			unverified	high	https://en.wikipedia.org/wiki/Cooley_Distillery https://en.wikipedia.org/wiki/Irish_whiskey	'Kilbeggan Blend' matured in fresh bourbon casks, made with/at Cooley Distillery, County Louth. Sibling Connemara (Cooley's peated single malt) is a different brand, not in this batch.
highland-queen	Highland Queen	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	REVIEW: no brand-specific source found despite repeated searches -- no dedicated Wikipedia article, official-looking domains did not resolve, masterofmalt/scotchwhisky.com whiskypedia both errored. Treated as an ordinary blended Scotch per category convention even though it carries 12 catalogue SKUs; a human reviewer should try to confirm current owner and peat status directly.
willett	Willett	distillery	US			Kentucky Bourbon Distillers		none			unverified	high	https://en.wikipedia.org/wiki/Willett_Distillery	Bardstown KY. Range spans bourbon and rye across its many labels so defaultTypeName left empty. Not itself a brand string in this batch; added as parent for Rowan's Creek.
rowans-creek	Rowan's Creek	brand	US			Kentucky Bourbon Distillers	bourbon	none	willett		unverified	high	https://en.wikipedia.org/wiki/Willett_Distillery	Willett's best-selling bourbon brand per the distillery's Wikipedia article.
buffalo-trace	Buffalo Trace	distillery	US			Sazerac Company	bourbon	none			unverified	high	https://en.wikipedia.org/wiki/Buffalo_Trace_Distillery	Standard Kentucky straight bourbon, unpeated.
fireball	Fireball	blend	CA			Sazerac Company		none			unverified	high	https://en.wikipedia.org/wiki/Fireball_Cinnamon_Whisky	Canadian-whisky-based cinnamon liqueur/flavoured whisky; not a standard style so defaultTypeName left empty. Base spirit unpeated, artificially cinnamon-flavoured (Atomic Fireball candy flavouring).
ichiros	Ichiro's	blend	JP			Venture Whisky		unknown			unverified	low		Catalogue brand spans both a Chichibu single malt expression ('Wine Wood Reserve') and 'Ichiro's Malt & Grain', a world blend combining malt and grain whiskies from several countries -- since the range is not from one single distillery, kind=blend. Peat left unknown: I could not confirm the exact composition or any peated content of the World Blend line from a page I opened.
woodford	Woodford Reserve	distillery	US			Brown-Forman	bourbon	none			unverified	high	https://en.wikipedia.org/wiki/Woodford_Reserve	Premium small-batch Kentucky straight bourbon, unpeated. Catalogue brand string is the single word 'Woodford' (sample: 'Woodford Резерв' = Woodford Reserve).
old-smuggler	Old Smuggler	blend	GB-SCT			Campari Group	blend	none			unverified	high	https://en.wikipedia.org/wiki/Campari_Group	Campari Group acquired Old Smuggler (with Glen Grant and Braemar) from Pernod Ricard in 2006; standard blended Scotch, no peat indication.
spey-river	Spey River	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No brand-specific source found. Name invokes the River Spey/Speyside but region left empty since actual sourcing is unconfirmed; treated as ordinary blended Scotch per category convention.
white-heather	White Heather	blend	GB-SCT			The GlenAllachie Distillers Co Limited	blend	none			unverified	high	https://en.wikipedia.org/wiki/Glenallachie_distillery	Confirmed blended Scotch whisky brand owned by GlenAllachie Distillers (acquired together with the distillery in the 2017 Billy Walker buyout from Chivas Brothers); no peat indication.
glen-silvers	Glen Silver's	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No dedicated source found (Wikipedia search returned zero hits). 'Glen'-prefixed own-label naming strongly suggests an ordinary blended/vatted Scotch; treated per category convention.
dalmahoy	Dalmahoy	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No dedicated source found. Dalmahoy is a real place name (estate near Edinburgh) used as an own-label; treated as ordinary blended Scotch per category convention.
macarthurs	MacArthur's	blend	GB-SCT			Inver House Distillers	blend	none			unverified	high	https://en.wikipedia.org/wiki/Inver_House_Distillers	Confirmed blended Scotch whisky brand of Inver House Distillers (also owner of Speyburn among others); no peat indication.
samuel-gelstons	Gelston's	blend	IE				blend	none			unverified	low	https://en.wikipedia.org/wiki/Irish_whiskey	Historic Northern Irish whiskey brand (associated with Henry Neill, Rockport House, Co. Down); today mainly visible as the sponsorship name of the Irish Cup football competition. Current producer/owner unconfirmed. countryCode set to GB since Northern Ireland has no dedicated code in the closed list (GB-ENG/SCT/WLS don't apply, and IE is the Republic of Ireland). Peat via the Irish-whiskey category source (peat rare outside Scotland). Country normalized GB -> IE: the closed list has no GB-NIR and this seed follows the Irish-whiskey GI convention.
the-gospel	The Gospel	distillery	AU				rye	none			unverified	high	https://www.thegospelwhiskey.com	Own distillery in Melbourne, Australia (not the US, despite what the name might suggest), using rye grown on a single farm in the Mallee region. A limited 'Resurrection' release mentions a gentle hint of smoke, but that release is not among this batch's samples (plain 'The Gospel' + 'Solera Rye').
beverbach	Beverbach	blend						unknown			unverified	unknown		No web presence found: Wikipedia search returned zero hits (only suggested 'Bieberbach'), and guessed official domains (beverbach.de/.com) failed to resolve/connect. Name suggests a German/European craft origin given the cask-finish naming (Tri Cask, Sherry Cask, Tequila Cask, Mizunara Cask, Craftbeer Cask) but this is entirely unconfirmed.
gouden-carolus	Gouden Carolus	distillery	BE			Het Anker Brewery	single malt	none			unverified	low	https://en.wikipedia.org/wiki/Het_Anker_Brewery	Belgian brewery (Mechelen) that began distilling a single malt whisky in 2010 from its own Gouden Carolus Tripel beer; no peat mentioned anywhere in the source found, hence confidence=low rather than high.
oneills	O'Neill's	blend	IE				blend	none			unverified	low	https://en.wikipedia.org/wiki/Irish_whiskey	No dedicated source found. Irish-surname branding with cask-finished Rum/Port/Sherry variants strongly suggests an own-label Irish blend. Peat via the Irish-whiskey category source.
dublins-own	Dublin's Own	blend	IE				blend	none			unverified	low	https://en.wikipedia.org/wiki/Irish_whiskey	No dedicated source found; own-label Irish blend inferred from the name. Peat via the Irish-whiskey category source.
lambertus	Lambertus	blend						unknown			unverified	unknown		No web presence found for this whisky (zero Wikipedia hits). The name recalls the Belgian 'Lambertus' beer brand (Brouwerij Huyghe) but no whisky connection is confirmed; left entirely unknown rather than guessed.
old-barny	Old Barny	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No source found (single-product own label); treated as ordinary blended Scotch per category convention.
pennypacker	Pennypacker	blend						unknown			unverified	unknown		No web presence found. Unlike most of this batch's unidentified own labels, the name has no 'Glen'/Scottish styling, so it was left unclassified rather than defaulted to blended Scotch.
spice-monkey	Spice Monkey	blend						unknown			unverified	unknown		No web presence found (zero Wikipedia hits). Flavoured-sounding name; category and country of origin unconfirmed.
the-old-barrel	The Old Barrel	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No source found (single-product own label); treated as ordinary blended Scotch per category convention.
15-stars	15 Stars	blend						unknown			unverified	unknown		No web presence found. Naming pattern ('Platinum', 'First West') gives no clear nationality signal, so left unclassified rather than guessed.
glen-angel	Glen Angel	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	Catalogue brand string is the bare word 'Angel' but its one sample product is 'Glen Angel' -- a 'Glen'-prefixed own-label strongly suggesting an ordinary blended Scotch, per category convention.
lighthouse	Lighthouse	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No dedicated source found. One of its two SKUs is named 'Lighthouse Peated' -- per this brief's own instruction not to author producer rules for the generic 'peated' pattern (that is handled by a central rule), that specific bottling will be caught centrally; this base row represents the plain/standard line only.
