king-robert	King Robert II	blend	GB-SCT			Ian Macleod Distillers	blend	none			unverified	high	https://scotchwhisky.com/whiskypedia/2429/king-robert-ii/ https://www.prweb.com/releases/ian-macleod-distillers-introduces-king-robert-ii-to-the-united-states-802243818.html	Owner confirmed as Ian Macleod Distillers via its own press release; the seed's Inver House suspicion is disconfirmed. Ordinary multi-region blend (Islands, Highlands, Lowlands, Speyside malt plus grain); official tasting language is sweet throughout and the 12yo charred woodsmoke reads as oak char, so none is kept under the ordinary-blend clause with brand-specific sources.
kurayoshi	Kurayoshi	brand	JP			Matsui Shuzo	malt	unknown	matsui		unverified	high	https://matsuiwhisky.com/en/item/kurayoshi/ https://matsuiwhisky.com/en/company/distillery/ https://matsuiwhisky.com/en/item_category/matsui/	Same company as matsui (Matsui Shuzo, Kurayoshi Distillery, Tottori) - parentSlug set accordingly; a pure/vatted malt of sourced Scottish plus Japanese malt. No peat language for Kurayoshi products. Reviewer flag: the sibling Matsui line has a core The Peated expression on the producer's own site - check the matsui row's peat; that SKU name is caught by the global peated keyword rule.
lakes	The Lakes Distillery	distillery	GB-ENG			Nyetimber		unknown			unverified	high	https://lakesdistillery.com/ https://www.bbr.com/producer-4135-the-lakes-distillery	English distillery (Bassenthwaite, Cumbria; founded 2012 by Paul Currie and Nigel Mills, not 2014; acquired by Nyetimber in June 2024). Core range uses unpeated Concerto barley (bbr.com) but the Whiskymaker's Reserve series is genuinely mixed - No.6 is described as heavily smoky in retail notes, No.5 and No.7 are not - so peat stays unknown at producer level. Withheld: the WR No.6 peat claim has no opened producer-domain source.
mac-talla	Mac-Talla	blend	GB-SCT	islay	islay	Morrison Scotch Whisky Distillers	single malt	medium		morrison-mackay	unverified	high	https://mactallawhisky.com/about-us https://www.morrisondistillers.com/mactalla	Islay single malt range from an undisclosed distillery, owned by Morrison Scotch Whisky Distillers (independent, Brian and Jamie Morrison - NOT the Suntory-owned Morrison Bowmore). Islay sourcing confirmed on two producer-domain pages; core Terra and Mara land at 18-25ppm per converging retail sources, so medium. Flora Lightly Peated and the heavily peated Oloroso LE are handled by the global lightly/heavily peated keyword rules.
morris-rutherglen	Morris	distillery	AU			Casella Family Brands	single malt	unknown			unverified	high	https://www.morrisofrutherglen.com/ https://www.morrisofrutherglen.com/products/morris-australian-single-malt-whisky-smoked-muscat	Morris of Rutherglen (Victoria); Casella Family Brands confirmed via the producer's own site footer. House style is fortified-wine-cask finishing with zero peat mentions on the official domain; the Smoked Muscat Barrel release's smoke is heavily-charred oak, not peat, per an independent review - kept unknown for lack of an explicit unpeated statement.
penelope	Penelope	blend	US			MGP Ingredients (via Luxco, 2023)		none			unverified	high	https://penelopebourbon.com/our-story/	Non-distiller brand (HQ Rumson, New Jersey) producing at MGP's Ross & Squibb distillery; acquired by MGP through Luxco in 2023. Range spans straight bourbon AND straight rye plus finishes, so defaultTypeName cleared (was bourbon). American bourbon and rye mash bills use no peated malt.
pokeno	Pokeno	distillery	NZ			Pokeno Whisky Company	single malt	none			unverified	high	https://pokenowhisky.com/	New Zealand's largest single malt distillery (Waikato, founded 2017 by Matt and Celine Johns). The producer's own site never mentions peat; its smoky direction is manuka-wood smoked malt, not peat. whisky.com's database states Pokeno Origin is unpeated (seen via search results, page not opened - noted honestly). Peat upgraded unknown to none on that basis.
restless-pony	Restless Pony	blend	US			Regno (Ukrainian importer/brand owner)		none			unverified	high	https://trademaster.ua/articles/313848 https://winewine.ua/whiskey/restless-pony-rye/	Ukraine-market private label owned by Ukrainian distributor Regno, contract-produced at an undisclosed large Tennessee distillery using the Lincoln County Process; the actual US distillery is unidentified. Range spans an Original and a Rye, so defaultTypeName cleared (was rye). No smoke language anywhere; American mash bills are unpeated. Probable Cyrillic spelling seen only in a retailer URL slug - not added as an alias.
samuel-gelstons	Samuel Gelston's	blend	IE			Halewood Artisanal Spirits		none			unverified	high	https://samuelgelstons.com/our-whiskey/	Belfast-born (1830) brand relaunched by Halewood (HJ Neill Spirits); sources whiskey independent-bottler-style (Bushmills casks among sources) but products are own-branded, so kind stays blend. Range spans blend, single malt and single pot still, so defaultTypeName cleared. IE kept per the island-wide Irish Whiskey GI. none rests on category plus total absence of smoke language across the official range page and six reviews, not an explicit statement.
scots-gold	Scots Gold	blend	GB-SCT			Charles Edge London Ltd	blend	none			unverified	high	https://charlesedge.com/collections/scots-gold-whisky https://charlesedge.com/pages/about	Blended Scotch range of London-based independent bottler Charles Edge (sister company Ethimex sources spirit); all four variants' own tasting notes carry no smoke language. Withheld peat proposal: light per IWSC judge notes on the 8yo (hints of bonfire smoke, a bit of Islay smoke) - competition notes, not producer statements.
yamazaki	Yamazaki	distillery	JP			Suntory	single malt	none			unverified	high	https://house.suntory.com/yamazaki-whisky https://house.suntory.com/yamazaki-whisky/yamazaki-distillery https://en.wikipedia.org/wiki/Yamazaki_distillery	Suntory's flagship single malt (Shimamoto, Osaka). Official pages describe the whole core range with zero smoke or peat language; whisky.com calls the malt usually unpeated (search-level). Peated spirit is distilled mainly for blending and appears only in clearly-labeled limited releases (2024 Kogei Peated Malt Spanish Oak), whose names the global peated keyword rule catches.
yellowstone	Yellowstone	brand	US			Luxco (MGP Ingredients)	bourbon	none	limestone-branch		unverified	high	https://yellowstonebourbon.com/ https://www.luxco.com/brand/yellowstone/	Kentucky straight bourbon brand produced at Limestone Branch Distillery (Lebanon, KY; Beam family and Luxco 50/50 since 2018; Luxco is MGP's branded-spirits division since 2021). Every current expression is straight bourbon, finishes included, so defaultTypeName is bourbon. The bourbon category uses no peated malt.
barry-bernard	Barry Bernard	blend	IT			Polini Group Italia srl		unknown			unverified	high	https://winestore.com.ua/uk/malt-blended/15113/ https://maudau.com.ua/product/viski-barry-bernard-3yo-blended-whisky-40-07-l https://polinigroup.com/en/the-group/	Italian private-label export brand for the Ukrainian market, manufactured by Polini (Bergamo, ~150 registered private labels) - attribution consistent across every Ukrainian retail listing, though Polini's own site does not showcase the brand. Base 3yo is a genuine blended whisky; Honey and Spicy variants are whisky-based flavored drinks, so defaultTypeName stays empty. Retailer copy conflicts on smoke (maudau says smoky-peaty, winestore floral-fruity), so peat stays unknown; withheld peat proposal: light per retailer copy only.
limestone-branch	Limestone Branch Distillery	distillery	US			Beam family and Luxco (MGP Ingredients), 50/50		none			unverified	high	https://yellowstonebourbon.com/ https://www.luxco.com/brand/yellowstone/	New row for yellowstone: the producing distillery (Lebanon, Kentucky; founded 2011 by Stephen and Paul Beam; Luxco took 50 percent in 2018). American bourbon house; no peated malt in the category.
