# slug	field	value	why the researched value was wrong, and what says so
stannergill	sourceUrls	https://en.wikipedia.org/wiki/List_of_whisky_distilleries_in_Scotland	Wikipedia list cross-check: the distillery, its region and its owner are independently corroborated, so the agent understated confidence. The peat sub-gate is untouched.
stirling	confidence	high	Wikipedia list cross-check: the distillery, its region and its owner are independently corroborated, so the agent understated confidence. The peat sub-gate is untouched.
strathearn	confidence	high	Wikipedia list cross-check: the distillery, its region and its owner are independently corroborated, so the agent understated confidence. The peat sub-gate is untouched.
strathisla	confidence	high	Wikipedia list cross-check: the distillery, its region and its owner are independently corroborated, so the agent understated confidence. The peat sub-gate is untouched.
strathmill	confidence	high	Wikipedia list cross-check: the distillery, its region and its owner are independently corroborated, so the agent understated confidence. The peat sub-gate is untouched.
tiree	confidence	high	Wikipedia list cross-check: the distillery, its region and its owner are independently corroborated, so the agent understated confidence. The peat sub-gate is untouched.
toulvaddie	confidence	high	Wikipedia list cross-check: the distillery, its region and its owner are independently corroborated, so the agent understated confidence. The peat sub-gate is untouched.
toulvaddie	sourceUrls	https://en.wikipedia.org/wiki/List_of_whisky_distilleries_in_Scotland	Wikipedia list cross-check: the distillery, its region and its owner are independently corroborated, so the agent understated confidence. The peat sub-gate is untouched.
tullibardine	confidence	high	Wikipedia list cross-check: the distillery, its region and its owner are independently corroborated, so the agent understated confidence. The peat sub-gate is untouched.
uile-bheist	confidence	high	Wikipedia list cross-check: the distillery, its region and its owner are independently corroborated, so the agent understated confidence. The peat sub-gate is untouched.
uile-bheist	sourceUrls	https://en.wikipedia.org/wiki/List_of_whisky_distilleries_in_Scotland	Wikipedia list cross-check: the distillery, its region and its owner are independently corroborated, so the agent understated confidence. The peat sub-gate is untouched.
